bhs:acCati,210: Verb form
bhs:pratisaMlayati,10157: Verb form
bhs:pratisaMlIyate,10162: Verb form
bhs:pratisaMvedayati,10172: Verb form
bhs:pratisaMSikzati,10174: Verb form
bhs:pratisaMskArayati,10178: Verb form
bhs:pratisamayati,10194: Verb form
bhs:pratisamarpayati,10195: Verb form
bhs:pratisaMmodate,10196: Verb form
bhs:pratisarati,10199: Verb form
bhs:pratisuBati,10204: Verb form
bhs:pratisfjyati,10205: Verb form
bhs:pratisevati,10206: Verb form
bhs:pratihanyate,10211: Verb form
bhs:pratihArayati,10214: Verb form
bhs:pratIcCati,10215: Verb form
bhs:pratIyati,10221: Verb form
bhs:pratyajati,10231: Verb form
bhs:pratyanukampate,10233: Verb form
bhs:pratyanuBavati,10234: Verb form
bhs:pratyanuBAzati,10236: Verb form
bhs:pratyanuyujyate,10238: Verb form
bhs:pratyanuSaMsate,10240: Verb form
bhs:pratyavatarati,10254: Verb form
bhs:pratyavaBAzati,10255: Verb form
bhs:pratyavasarati,10256: Verb form
bhs:pratyAgacCati,10260: Verb form
bhs:pratyAcikzati,10261: Verb form
bhs:pratyAjanizyate,10262: Verb form
bhs:pratyAjAyate,10264: Verb form
bhs:pratyApibati,10271: Verb form
bhs:pratyudAvartate,10286: Verb form
bhs:pratyudDarati,10291: Verb form
bhs:pratyupatizWati,10297: Verb form
bhs:pradAlayati,10338: Verb form
bhs:pradIkzate,10340: Verb form
bhs:pradUzayati,10346: Verb form
bhs:praDUpayati,10358: Verb form
bhs:prapaYcayati,10364: Verb form
bhs:prapati,10367: Verb form
bhs:praparIkzate,10369: Verb form
bhs:prapAcayati,10371: Verb form
bhs:praprIRayati,10378: Verb form
bhs:prabuDyati,10384: Verb form
bhs:praBazati,10396: Verb form
bhs:pramuYcati,10446: Verb form
bhs:prayujyate,10461: Verb form
bhs:praraRati,10463: Verb form
bhs:pralambayati,10470: Verb form
bhs:pralIyati,10476: Verb form
bhs:pralujjati,10479: Verb form
bhs:pravayati,10488: Verb form
bhs:pravArayati,10503: Verb form
bhs:pravArayati,10504: Verb form
bhs:pravAsayati,10509: Verb form
bhs:pravikatTate,10510: Verb form
bhs:pravikampati,10511: Verb form
bhs:pravikalpayati,10513: Verb form
bhs:pravicArayati,10518: Verb form
bhs:pravidarBayati,10521: Verb form
bhs:pravidarSayati,10522: Verb form
bhs:pravidArayati,10523: Verb form
bhs:praviBAvayati,10526: Verb form
bhs:praviBAsayati,10527: Verb form
bhs:pravirAjate,10528: Verb form
bhs:pravirohati,10529: Verb form
bhs:praviSAmayati,10532: Verb form
bhs:pravizajati,10534: Verb form
bhs:pravisArayati,10538: Verb form
bhs:pravuccati,10540: Verb form
bhs:praveDati,10546: Verb form
bhs:pravyaDati,10553: Verb form
bhs:pravrAjayati,10558: Verb form
bhs:praSnati,10582: Verb form
bhs:praSraByate,10586: Verb form
bhs:praSvasati,10588: Verb form
bhs:prasavate,10599: Verb form
bhs:prasavati,10600: Verb form
bhs:prasAdayati,10607: Verb form
bhs:prAKarati,10656: Verb form
bhs:prAYjayati,10664: Verb form
bhs:prApadyate,10703: Verb form
bhs:prApuRati,10704: Verb form
bhs:prArDate,10722: Verb form
bhs:prAvarati,10726: Verb form
bhs:priyAyati,10756: Verb form
bhs:prezayati,10774: Verb form
bhs:protsfjati,10776: Verb form
bhs:prodyAyate,10777: Verb form
bhs:pronmaTyate,10778: Verb form
bhs:Parati,10797: Verb form
bhs:ParaParAyate,10798: Verb form
bhs:Palati,10804: Verb form
bhs:badDati,10841: Verb form
bhs:badDApayati,10843: Verb form
bhs:balIyati,10881: Verb form
bhs:bahvIyati,10918: Verb form
bhs:bAlayati,10924: Verb form
bhs:bAzpAyati,10931: Verb form
bhs:bAhayati,10933: Verb form
bhs:bukkati,10962: Verb form
bhs:budDati,10971: Verb form
bhs:budDyAyate,10990: Verb form
bhs:BagnapfzWIBavati,11112: Verb form
bhs:Bajjati,11114: Verb form
bhs:BaRqati,11122: Verb form
bhs:Barati,11162: Verb form
bhs:Barayati,11164: Verb form
bhs:Bavati,11174: Verb form
bhs:Basati,11190: Verb form
bhs:BAgayati,11195: Verb form
bhs:BAyati,11221: Verb form
bhs:BAvati,11226: Verb form
bhs:manayate,11533: Verb form
bhs:manyate,11583: Verb form
bhs:mamAyati,11588: Verb form
bhs:maraRaprajYAyate,11594: Verb form
bhs:margati,11608: Verb form
bhs:marzayati,11616: Verb form
bhs:mAyati,12001: Verb form
bhs:milAyati,12082: Verb form
bhs:millati,12083: Verb form
bhs:muYcati,12125: Verb form
bhs:muRqApayati,12136: Verb form
bhs:mUyate,12174: Verb form
bhs:mUzati,12200: Verb form
bhs:mfyati,12235: Verb form
bhs:mellati,12292: Verb form
bhs:mEtrAyati,12304: Verb form
bhs:modayati,12326: Verb form
bhs:yApayati,12471: Verb form
bhs:raRati,12558: Verb form
bhs:rahAyati,12744: Verb form
bhs:rADyate,12768: Verb form
bhs:riYcati,12796: Verb form
bhs:ritIyate,12798: Verb form
bhs:riDyate,12801: Verb form
bhs:ruccati,12814: Verb form
bhs:rucyati,12816: Verb form
bhs:rocayati,12866: Verb form
bhs:rohati,12883: Verb form
bhs:laggati,12920: Verb form
bhs:lagnati,12922: Verb form
bhs:laNGayati,12931: Verb form
bhs:lapayati,12946: Verb form
bhs:lardayati,12964: Verb form
bhs:lavApayati,12972: Verb form
bhs:lAqyate,12982: Verb form
bhs:lIyati,13006: Verb form
bhs:lIyati,13007: Verb form
bhs:lujjati,13014: Verb form
bhs:luqati,13015: Verb form
bhs:loqayati,13091: Verb form
bhs:vagUhayati,13129: Verb form
bhs:vaqqIBavati,13226: Verb form
bhs:vattIBavati,13235: Verb form
bhs:vadDApayati,13248: Verb form
bhs:vadyate,13250: Verb form
bhs:vaDati,13253: Verb form
bhs:vaDrayati,13262: Verb form
bhs:varjayati,13326: Verb form
bhs:varttIBavati,13348: Verb form
bhs:varDayati,13360: Verb form
bhs:varDApayati,13361: Verb form
bhs:varDIBavati,13363: Verb form
bhs:vasati,13426: Verb form
bhs:vasayati,13430: Verb form
bhs:vasyati,13457: Verb form
bhs:vahati,13458: Verb form
bhs:vApayati,13507: Verb form
bhs:vArayati,13530: Verb form
bhs:vArttIBavati,13541: Verb form
bhs:vASyate,13563: Verb form
bhs:vAzpAyate,13565: Verb form
bhs:vAhayati,13588: Verb form
bhs:vikaqQate,13599: Verb form
bhs:vikalpayati,13609: Verb form
bhs:vikutsayate,13618: Verb form
bhs:vikurvati,13621: Verb form
bhs:vikopayati,13630: Verb form
bhs:vikrandati,13631: Verb form
bhs:vikrAyati,13636: Verb form
bhs:vikriRati,13637: Verb form
bhs:vikrIRati,13640: Verb form
bhs:viklamBayati,13644: Verb form
bhs:viKAdati,13655: Verb form
bhs:vigrAhayati,13675: Verb form
bhs:viGAwayati,13680: Verb form
bhs:vicarati,13693: Verb form
bhs:vicalayati,13695: Verb form
bhs:vicArayati,13699: Verb form
bhs:vicitrayati,13714: Verb form
bhs:vicUzayati,13722: Verb form
bhs:viCandayati,13725: Verb form
bhs:vijawApayati,13730: Verb form
bhs:vijahayati,13739: Verb form
bhs:vijigupsati,13743: Verb form
bhs:vijJati,13750: Verb form
bhs:vijYapayati,13752: Verb form
bhs:viWapayati,13771: Verb form
bhs:vitaMsayati,13776: Verb form
bhs:vitanati,13778: Verb form
bhs:vitarati,13780: Verb form
bhs:vidarBayati,13789: Verb form
bhs:vidyate,13803: Verb form
bhs:vidrApayati,13825: Verb form
bhs:viDunayati,13840: Verb form
bhs:viDyati,13843: Verb form
bhs:vinamate,13848: Verb form
bhs:vinAdayati,13859: Verb form
bhs:vinipAtayati,13866: Verb form
bhs:vinibaDyate,13868: Verb form
bhs:vinibanDayati,13871: Verb form
bhs:vinDati,13898: Verb form
bhs:vipaMsayati,13901: Verb form
bhs:vipAcayati,13932: Verb form
bhs:vipuzpayati,13948: Verb form
bhs:vipfzWIBavati,13952: Verb form
bhs:viprakramati,13956: Verb form
bhs:vipraRASayati,13960: Verb form
bhs:vipratikfzati,13961: Verb form
bhs:vipratipadyate,13963: Verb form
bhs:vipramAdayati,13978: Verb form
bhs:vipralamBayati,13982: Verb form
bhs:vipravasati,13985: Verb form
bhs:vipravAdayati,13988: Verb form
bhs:vipravAhayati,13990: Verb form
bhs:vipraveSati,13992: Verb form
bhs:viprasIdati,13994: Verb form
bhs:vibadDayati,13998: Verb form
bhs:vibudDati,14002: Verb form
bhs:viBakzayati,14011: Verb form
bhs:viBajati,14014: Verb form
bhs:viBaRqayati,14019: Verb form
bhs:viBartsayati,14020: Verb form
bhs:viBAzati,14027: Verb form
bhs:viBramati,14044: Verb form
bhs:vimuYcati,14105: Verb form
bhs:vimrakzayati,14116: Verb form
bhs:viyUhati,14121: Verb form
bhs:virAgayati,14141: Verb form
bhs:virecayati,14154: Verb form
bhs:virolayati,14156: Verb form
bhs:vilujyati,14162: Verb form
bhs:vilomayati,14173: Verb form
bhs:vivarRayati,14187: Verb form
bhs:vivartati,14189: Verb form
bhs:vivahati,14196: Verb form
bhs:vivAcayati,14197: Verb form
bhs:vivAdayati,14199: Verb form
bhs:vivecayati,14205: Verb form
bhs:vivezwati,14206: Verb form
bhs:viSArayati,14217: Verb form
bhs:viSezayati,14244: Verb form
bhs:viSrAmayati,14254: Verb form
bhs:viSreRayati,14256: Verb form
bhs:vizkamBate,14279: Verb form
bhs:vizWihati,14285: Verb form
bhs:visaMjYAvati,14297: Verb form
bhs:visandati,14300: Verb form
bhs:visaMpAdayati,14303: Verb form
bhs:visaMBavati,14304: Verb form
bhs:visarjayati,14307: Verb form
bhs:visuBati,14312: Verb form
bhs:vistarati,14317: Verb form
bhs:visTApayati,14325: Verb form
bhs:visnapayati,14327: Verb form
bhs:visparSati,14329: Verb form
bhs:viharati,14337: Verb form
bhs:viheWayati,14346: Verb form
bhs:vItinamati,14362: Verb form
bhs:vItipatati,14363: Verb form
bhs:vItivartati,14365: Verb form
bhs:vItisaMcarati,14367: Verb form
bhs:vItisArayati,14368: Verb form
bhs:vuccati,14389: Verb form
bhs:vuhyati,14393: Verb form
bhs:vfzwAyate,14419: Verb form
bhs:veWayati,14430: Verb form
bhs:veDati,14456: Verb form
bhs:vezwApayati,14490: Verb form
bhs:vopasamati,14611: Verb form
bhs:vosArayati,14612: Verb form
bhs:vyaMsayati,14614: Verb form
bhs:vyatikASati,14619: Verb form
bhs:vyatinamati,14620: Verb form
bhs:vyatipatati,14621: Verb form
bhs:vyatiBindati,14623: Verb form
bhs:vyatirocate,14624: Verb form
bhs:vyatilokayati,14625: Verb form
bhs:vyatisaMcarati,14627: Verb form
bhs:vyatisArayati,14628: Verb form
bhs:vyaDati,14631: Verb form
bhs:vyantIBavati,14634: Verb form
bhs:vyapadahyati,14641: Verb form
bhs:vyapadeSate,14643: Verb form
bhs:vyapalokayati,14644: Verb form
bhs:vyapasaMsarati,14645: Verb form
bhs:vyavacArayati,14655: Verb form
bhs:vyavadahyati,14657: Verb form
bhs:vyavadAyate,14659: Verb form
bhs:vyavadiSati,14660: Verb form
bhs:vyavaBAsate,14663: Verb form
bhs:vyavalokayati,14666: Verb form
bhs:vyavahasati,14675: Verb form
bhs:vyAkopayati,14686: Verb form
bhs:vyADiprajYAyate,14696: Verb form
bhs:vyApadyate,14698: Verb form
bhs:vyAbADati,14702: Verb form
bhs:vyAyAsayati,14708: Verb form
bhs:vyAvaDati,14713: Verb form
bhs:vyAvahati,14715: Verb form
bhs:vyAsajati,14717: Verb form
bhs:vyAharati,14721: Verb form
bhs:vyuttizWati,14726: Verb form
bhs:vyutpadyati,14728: Verb form
bhs:vyupanAmayati,14731: Verb form
bhs:vyupaparIkzate,14734: Verb form
bhs:SabdApayati,14833: Verb form
bhs:Salati,14870: Verb form
bhs:Sallayati,14877: Verb form
bhs:SAwayati,14908: Verb form
bhs:SikzApayati,14992: Verb form
bhs:Sizyate,15047: Verb form
bhs:Sizyayati,15048: Verb form
bhs:SizyApayati,15050: Verb form
bhs:SItIBavati,15062: Verb form
bhs:Sulkayati,15140: Verb form
bhs:SuSrUyati,15154: Verb form
bhs:Suzkati,15156: Verb form
bhs:SeKayati,15175: Verb form
bhs:SoDayati,15206: Verb form
bhs:SoBate,15208: Verb form
bhs:SradDayate,15238: Verb form
bhs:SlAGate,15338: Verb form
bhs:saMrAgayati,15388: Verb form
bhs:saMrADati,15390: Verb form
bhs:saMlApayati,15395: Verb form
bhs:saMvartati,15407: Verb form
bhs:saMvidyate,15422: Verb form
bhs:saMviheWayati,15425: Verb form
bhs:saMveDati,15437: Verb form
bhs:saMvyavahArate,15438: Verb form
bhs:saMSlezayati,15449: Verb form
bhs:saMsati,15451: Verb form
bhs:saMsAdayati,15454: Verb form
bhs:saMsTihati,15474: Verb form
bhs:saMspfSati,15476: Verb form
bhs:saMsPArayati,15477: Verb form
bhs:saMsyandati,15478: Verb form
bhs:saMharati,15481: Verb form
bhs:sakkati,15495: Verb form
bhs:saMkawwati,15507: Verb form
bhs:saMkaliyati,15512: Verb form
bhs:saMkirati,15522: Verb form
bhs:saMkilikilAyate,15523: Verb form
bhs:saMkIyati,15525: Verb form
bhs:saMkuYcayati,15527: Verb form
bhs:saMkliSyati,15542: Verb form
bhs:saMkzayati,15544: Verb form
bhs:saMkzUyate,15548: Verb form
bhs:saMgaRayati,15556: Verb form
bhs:saMgavezati,15562: Verb form
bhs:saMgAyati,15563: Verb form
bhs:saMgUhayati,15567: Verb form
bhs:saMgopAyati,15571: Verb form
bhs:saMgrAmayati,15578: Verb form
bhs:saMGawati,15582: Verb form
bhs:saMGawwati,15586: Verb form
bhs:sajati,15606: Verb form
bhs:saMcagGati,15610: Verb form
bhs:saMcodayati,15626: Verb form
bhs:saMjAnayati,15637: Verb form
bhs:saMtizWate,15726: Verb form
bhs:saMdArayati,15742: Verb form
bhs:saMdfSyati,15744: Verb form
bhs:saMDAvati,15755: Verb form
bhs:saMDihati,15760: Verb form
bhs:saMDUmAyate,15765: Verb form
bhs:saMDUyate,15766: Verb form
bhs:saMnAmayati,15772: Verb form
bhs:saMnidAhayati,15773: Verb form
bhs:saMnirjinati,15778: Verb form
bhs:saMnivAsayati,15781: Verb form
bhs:saMnizeDati,15786: Verb form
bhs:sannIyate,15788: Verb form
bhs:sapati,15790: Verb form
bhs:samatiBindati,15842: Verb form
bhs:samaDiBAzati,15847: Verb form
bhs:samanugAhyate,15850: Verb form
bhs:samanunayati,15855: Verb form
bhs:samanubuDyate,15861: Verb form
bhs:samanuyujyate,15863: Verb form
bhs:samanurakzati,15864: Verb form
bhs:samanuvicarati,15865: Verb form
bhs:samanusarati,15868: Verb form
bhs:samanusmarati,15869: Verb form
bhs:samanvAsayati,15965: Verb form
bhs:samanvAharati,15968: Verb form
bhs:samaBinayati,15975: Verb form
bhs:samaBipraRamati,15976: Verb form
bhs:samaBiprasAdayati,15977: Verb form
bhs:samaBirocate,15979: Verb form
bhs:samaBivandati,15980: Verb form
bhs:samaBisarati,15981: Verb form
bhs:samaByudgacCati,15983: Verb form
bhs:samayati,15987: Verb form
bhs:samavatarati,15998: Verb form
bhs:samavanamati,16000: Verb form
bhs:samavasarati,16002: Verb form
bhs:samavaharati,16005: Verb form
bhs:samAkampate,16011: Verb form
bhs:samAdayati,16022: Verb form
bhs:samAdApayati,16029: Verb form
bhs:samAdiyati,16034: Verb form
bhs:samADyate,16046: Verb form
bhs:samApadyate,16056: Verb form
bhs:samApIqayati,16059: Verb form
bhs:samArjayati,16068: Verb form
bhs:samAvartayati,16070: Verb form
bhs:samiYjayati,16073: Verb form
bhs:samIhati,16086: Verb form
bhs:samujyate,16091: Verb form
bhs:samutkIrtayati,16095: Verb form
bhs:samuttejayati,16101: Verb form
bhs:samudAgacCati,16108: Verb form
bhs:samudAcarati,16112: Verb form
bhs:samudAnayati,16120: Verb form
bhs:samudGAwayati,16135: Verb form
bhs:samuddiSati,16141: Verb form
bhs:samudvartate,16152: Verb form
bhs:samunmajjate,16153: Verb form
bhs:samupacarati,16155: Verb form
bhs:samupadarSayati,16156: Verb form
bhs:samupanAmayati,16157: Verb form
bhs:samupanikzipati,16158: Verb form
bhs:samupapadyati,16159: Verb form
bhs:samupAdayati,16162: Verb form
bhs:samupAvartayati,16165: Verb form
bhs:samupASrayati,16166: Verb form
bhs:samUhati,16173: Verb form
bhs:samonamati,16181: Verb form
bhs:saMpaccate,16183: Verb form
bhs:saMparikartayati,16191: Verb form
bhs:saMparikAlayati,16192: Verb form
bhs:saMparidIpayate,16194: Verb form
bhs:saMparipaSyati,16195: Verb form
bhs:saMparimArjati,16198: Verb form
bhs:saMparivartayati,16201: Verb form
bhs:saMpipAsati,16206: Verb form
bhs:saMprakirati,16219: Verb form
bhs:saMpragarjati,16222: Verb form
bhs:saMpracalati,16225: Verb form
bhs:saMpracitrayati,16226: Verb form
bhs:saMpratimAnayati,16240: Verb form
bhs:saMpratilaBate,16241: Verb form
bhs:saMprativigacCati,16242: Verb form
bhs:saMpratIcCati,16245: Verb form
bhs:saMpradAlayati,16253: Verb form
bhs:saMpraBaRati,16258: Verb form
bhs:saMpraBAsati,16261: Verb form
bhs:saMpramArjayati,16264: Verb form
bhs:saMpramuzyate,16267: Verb form
bhs:saMpraraRati,16269: Verb form
bhs:saMpravarRayate,16273: Verb form
bhs:saMpravarzati,16276: Verb form
bhs:saMpravAdayati,16278: Verb form
bhs:saMpravArayati,16281: Verb form
bhs:saMpraveDati,16284: Verb form
bhs:saMpravyaDati,16286: Verb form
bhs:saMpraSoDayati,16289: Verb form
bhs:saMpraskandati,16292: Verb form
bhs:saMprezate,16303: Verb form
bhs:saMprezayati,16304: Verb form
bhs:saMbuDyate,16312: Verb form
bhs:saMBuRati,16331: Verb form
bhs:saMmAyati,16344: Verb form
bhs:saMmiYjayati,16346: Verb form
bhs:saMmilAyati,16350: Verb form
bhs:saMmfSati,16358: Verb form
bhs:saMmodate,16359: Verb form
bhs:sarati,16387: Verb form
bhs:sarasarAyate,16392: Verb form
bhs:sahAMpati,16597: Verb form
bhs:sAgaravati,16641: Verb form
bhs:sAtIyati,16664: Verb form
bhs:sAdIyati,16667: Verb form
bhs:sABIyati,16692: Verb form
bhs:sAmaBilazati,16699: Verb form
bhs:sArajyati,16725: Verb form
bhs:suKApayati,16881: Verb form
bhs:sunirmARarati,16968: Verb form
bhs:suBati,17045: Verb form
bhs:sUtrayati,17238: Verb form
bhs:sekayati,17280: Verb form
bhs:seKayati,17281: Verb form
bhs:stavati,17371: Verb form
bhs:stuvati,17377: Verb form
bhs:sTapayati,17403: Verb form
bhs:sTihati,17432: Verb form
bhs:sParati,17474: Verb form
bhs:sPAlayati,17481: Verb form
bhs:sPurati,17488: Verb form
bhs:svaBAsIBavati,17544: Verb form
bhs:svastyayati,17566: Verb form
bhs:svAdIyati,17577: Verb form
bhs:svADyAyati,17579: Verb form
bhs:hAyate,17669: Verb form
bhs:hiRqati,17695: Verb form
bhs:hizati,17719: Verb form
bhs:hIzati,17725: Verb form
bhs:huduhuduyati,17729: Verb form
bhs:heWati,17745: Verb form
bhs:hriyApayati,17801: Verb form
bhs:hriyAyati,17802: Verb form
bhs:hrIyAyati,17805: Verb form
