cae:akandasamutTita,32:akandasamutTita:n:
cae:payograMha,17924:payograha:p:  anusvara wrong. cf. mw, pw
cae:parapiRqapuzwaka,17962:parapiRqapuzwaka:n:
cae:parAnude,18047:parAnude:n: verb fprm
cae:parArTavAdip,18058:parArTavAdin:p:  cf ccs, mw, pw, etc
cae:paritakaya,18156:{paritakaya}1{pa3ritakaya}:{paritakmya}1{pa3ritakmya}:t: cf MW, AP
cae:pariBagra,18226:pariBagna:p:  print unclear.  Bagna makes sense, confirm MW, STC
cae:pariviSAnta,18317:pariviSrAnta:t:
cae:parokzAnurAga,18474:parokzAnurAga:n:
cae:paryaSu,18509:paryaSru:t:
cae:paryaSunayana,18510:paryaSrunayana:t:
cae:paryupaKita,18528:paryupasTita:p:  cf mw. There is no Kita
cae:palAlaBAra,18575:palAlaBAra:n:
cae:paSvanfta,18666:paSvanfta:n:
cae:pAMsUpta,18690:pAMsUpta:n:  pAMsu + upta
cae:pARquprattra,18778:pARqupattra:t:  poor print quality
cae:pAtavE,18798:pA3tavĖ:pA3tavE3:t: Accent coding error; verb form. variant of pAtave
cae:pAdapIwa,18840:pAdapIWa:p:  cf. CCS, MW, PW, etc.
cae:pIpivaMs,19280:pIpivaMs:n: = pIpivas in MW
cae:pukkaSasa,19314:{pukkaSasa}1{pukkaSa++°sa} :{pukkasa}1{pukka°sa} :t: error in interpreting variant
cae:puzpakaraRqakodyAna,19600:puzpakaraRqakodyAna:n:
cae:pUjikA,19649:pUjikA:n:  f. of pUjaka
cae:pUtivakta,19675:pUtivaktra:t:
cae:pUyaSonita,19683:pUyaSonita:n:
cae:pUrRaSI,19702:pUrRaSrI:t:
cae:pUrvamImAsA,19763:{pUrvamImAsA}1{pUrvamImA3sA}:{pUrvamImAMsA}1{pUrvamImA3MsA}:t:
cae:pfRant,19820:pfRant:n: participle of pfc
cae:pfTulekzaRa,19879:pfTulekzaRa:n:
cae:pfzWAnupfzWikA,19908:pfzWAnupfzWikA:n: = f. of pfzWAnupfzWaka (MW)
cae:pewwAlaka,19913:pewwAlaka:n: = pewwAla see MW.
cae:pepiSat,19917:pepiSat:n:  See under MW piS; Intensive participle
cae:pepiSAMna,19918:pepiSAna:p:  anusvAra is wrong.  Cf MW piS.
cae:pOroBAmya,20029:pOroBAgya:t:
cae:pOrvAhlika,20038:pOrvAhlika:n: no doubt = pOrvAhRnika, cf. MW
cae:prakopaRI,20101:prakopaRI:n:  f. of prakopaRa, cf MW
cae:pracyotos,20172:pracyotos:n:  infinitive of pracyu (?)
cae:praRaptf,20222:praRaptf:n: variant of praRapAt
cae:pratamam,20256:pratamam:n:
cae:pratiBAvanta,20385:BAvanta:BAvant:p: missing final virAma
cae:pratirAjana,20414:pratirAjana:pratirAjan:p: missing final virAma
cae:pratirAtrAtri,20416:{pratirAtrAtri}1{pratirAt°rAtri}:{pratirAtri}1{prati°rAtri}:t:  error interpretating variant
cae:pratiSabdaka,20450:pratiSabdaka:n: variant of pratiSabda
cae:pratIpavipAkin,20498:pratIpavipAkin:n:
cae:pratIzwam,20500:pratIzwam:n:
cae:pratolIdvAra,20508:pratolIdvAra:n:
cae:pratvakzARa,20602:pratvakzARa:n:
cae:praTamaSI,20615:praTamaSrI:t:
cae:praTIyaMs,20620:praTIyaMs:n: = praTIyas in mw, etc.
cae:praDAnaprakfti,20664:praDAnaprakfti:n:
cae:pravahaRabalIvarda,20921:pravahaRabalIvarda:n: ?
cae:pravahaRavAhaka,20923:pravahaRavAhaka:n:
cae:pravahaRika,20924:pravahaRika:n:
cae:prANgaRana,21198:{prANgaRana}1{prANgaRa++°na}:{prANgana}1{prANga°na}:t:  error interpreting variant.  prANgana mentioned in mw under prANgaRa
cae:prARApriya,21259:prARApriya:n:
cae:prAtiveSimaka,21294:{prAtiveSimaka}1{prAtive°Simaka}:{prAtiveSmika}1{prAtive°Smika}:t:  error interpreting variant
cae:prAtiSutka,21297:prAtiSrutka:t:
cae:predaRqa,21519:predaRqa:n:
cae:predaRqaka,21520:predaRqaka:n:
cae:proYCa,21549:proYC:t:
cae:proDyata,21562:prodyata:t:
cae:PalamiSa,21647:PalamiSra:t:
cae:PurAPurAy,21680:PurAPurAy:n:  verb
cae:PUtkf,21685:PUtkf:n:
cae:banDubAnDava,21758:banDubAnDava:n:
cae:banDyeza,21767:banDyeza:n:
cae:balbalAkf,21864:balbalAkf:n:
cae:bahirgrAmapratiSaya,21876:bahirgrAmapratiSraya:t:
cae:bahuviDAkara,21952:bahuviDAkara:n:
cae:bahuvfttAnta,21954:bahuvfttAnta:n:
cae:bahuSuta,21958:bahuSruta:t:
cae:bahusAhastra,21961:bahusAhasra:t:
cae:bahUdara,21963:bahUdara:n:
cae:bARaSabda,21984:bARaSabda:n:
cae:bindUy,22113:bindUy:n: verb
cae:bimbisira,22117:bimbisAra:p:  
cae:bIjakARqaprarorin,22140:bIjakARqaprarohin:p:  cf ccs, mw, pw
cae:bfhadaSman,22235:bfhadaSman:n:
cae:brahmagImikA,22307:brahmagItikA:t:
cae:brahmacaryASama,22313:brahmacaryASrama:t:
cae:brAhyaya,22474:brAhymya:t:
cae:Bagnayuga,22525:Bagnayuga:n:
cae:BadraSI,22583:BadraSrI:t:
cae:BarataSezWa,22620:{BarataSezWa}1{Barata°SezWa}:{BarataSezWa}1{Barata°SrezWa}:t:
cae:Barahvati,22625:BarahUti:t:
cae:BarAkrAnta,22626:BarAkrAnta:n:
cae:BasmarASIkf,22724:BasmarASIkf:n:
cae:BasmasAtkf,22727:BasmasAtkf:n:
cae:BAminIpilAsa,22805:BAminIvilAsa:t:
cae:BArgavagraha,22828:BArgavagraha:n:
cae:BAvamiSa,22843:BAvamiSra:t:
cae:BAsita,22887:BAsita:n:
cae:BuktapUrvan,22984:BuktapUrvan:n:
cae:maNgalArTas,23453:maNgalArTam:p:  cf. MW.  Adv. with accusative form ending in 'm'
cae:maNgalodgIta,23455:maNgalodgIta:n:
cae:matihIja,23548:matihIna:t:
cae:matsTa,23568:matsTa:n:
cae:madarpaRa,23613:madarpaRa:n:
cae:madASaya,23622:madASraya:t:
cae:madgata,23637:madgata:n:
cae:madyAjin,23647:madyAjin:n:
cae:madyAnnavikraya,23646:madyAnnavikraya:n:
cae:maDujihU,23667:maDujihva:t:
cae:maDupiNga,23682:maDupiNga:n:
cae:maDumiSa,23693:maDumiSra:t:
cae:maDyAhU,23765:maDyAhna:t:
cae:manuzyarupa,23837:manuzyarUpa:p: compare Devanagari in 'rUpa' 
cae:mantriduhitf,23912:mantriduhitf:n:
cae:manTIlava,24643:{manTIlava}1{manTIla3va}:{mAnTIlava}1{mAnTIla3va}:p:
cae:marIcacUrRa,24025:marIcacUrRa:n:
cae:marIcikAM,24027:marIcikA:p:  The anusvAra may be a print smudge.
cae:masIguqikA,24129:masIguqikA:n:
cae:mastakottaMsa,24137:mastakottaMsa:n:
cae:mahAkapAwa,24171:mahAkapAwa:n:
cae:mahAtiGora,24208:mahAtiGora:n:
cae:mahApariBava,24242:mahApariBava:n:
cae:mahABAgaDeya,24276:mahABAgaDeya:n:
cae:mahAmahArGa,24300:mahAmahArGa:n:
cae:mahAhU,24397:mahAhna:t:
cae:mAMsaSoRitalepana,24490:mAMsaSoRitalepana:n:
cae:mAdravatIputrasUnu,24577:{mAdravatIputrasUnu}1{mAdravatIputra++°sUnu}:{mAdravatIsUnu}1{mAdravatI°sUnu}:t:
cae:mADyAhvika,24597:mADyAhnika:t:
cae:miTaHsamavAya,24840:miTaHsamavAya:n:
cae:miSaka,24883:miSraka:t:
cae:miSakeSI,24884:miSrakeSI:t:
cae:miSaRa,24885:miSraRa:t:
cae:miSaDAnya,24886:miSraDAnya:t:
cae:miSaDAnya,24887:miSraDAnya:t:
cae:miSay,24888:miSray:t:
cae:muKambuja,24976:muKAmbuja:p:   muKa+ambu+ja
cae:muKaSI,24972:muKaSrI:t:
cae:munidOhitra,25040:munidOhitra:n:
cae:mUlaprARahita,25139:mUlaprARahita:n:
cae:mfdukrUra,25274:mfdukrUra:n:
cae:mfdBa,25286:mfdBa:n: ?
cae:meGanAdinirGoza,25322:{meGanAdinirGoza}1{meGanAdi°nirGoza}:{meGanirGoza}1{meGa°nirGoza}:t:  difficult to resolve alternate to meGanAdin.  cf. mw, etc.
cae:momuTa,25448:momuGa:p:  scan difficult to read. Cf CCS, MW, etc.
cae:mOrvIjyA,25489:mOrvIjyA:n:
cae:yakzakardamaDUpa,25533:kardama::t: difficulty interpreting alternate/ cf ccs, mw, etc.
cae:yacCadDa,25548:yacCadDa:n:
cae:yatpraBAva,25673:yatpraBAva:n:
cae:yatrA,25675:yatrA:n: variant of yatra
cae:yatsaMKyAKa,25680:yatsaMKyAka:p:  cf. ccs, mw, pw
cae:yaTAmuKya,25731:yaTAmuKya:n:
cae:yaTAsanna,25778:yaTAsanna:n:
cae:yadI,25810:yadI:n: variant of yadi
cae:yadfcCAlABa,25814:yadfcCAlABa:n:
cae:yamaSezWa,25860:{yamaSezWa}1{yama3SezWa}:{yamaSrezWa}1{yama3SrezWa}:t:
cae:yAvacCezWa,26040:yAvacCrezWa:t:
cae:yAvadvalam,26057:yAvadbalam:p:  cf ccs, mw, pw. print poor quality
cae:yoktraraSmi,26177:yoktraraSmi:n:
cae:yogayajYa,26186:yogayajYa:n:
cae:yOvanaSI,26240:yOvanaSrI:t:
cae:raTagoza,26492:raTaGoza:t:
cae:raBIsaMs,26600:{raBIsaMs}1{ra3BIsaMs}:{raBIyaMs}1{ra3BIyaMs}:p: cf mw (raBIyas), ccs, pw
cae:ramawaka,26606:ramawaka:n: ?? text has (after rama), 'rawa or *ka'  So alphabetiically wrong. Not sure what is correct
cae:rahasyasaMrakzaRA,26715:rahasyasaMrakzaRA:n: f. of rahasyasaMrakzaRa in MW, PW
cae:rAjasyAlaka,26861:rAjasyAlaka:n:
cae:rAmeSara,26952:rAmeSvara:p: ? text has rAmeSrara.  cf. MW, PW
cae:rAyaspozadAvani,26959:{rAyaspozadAvani}1{rAyaspoza°dA3°vani}:{rAyaspozavani}1{rAyaspoza°vani}:t:  difficult interpretation of variant. cf mw, pw
cae:rAzwriyasyAla,26986:rAzwriyasyAla:n: ?
cae:rUkzasvana,27145:rUkzasvana:n:
cae:roganAhan,27234:{roganAhan}1{roganA3°han}:{rogahan}1{roga°han}:t: error interpreting variant
cae:laGUcCedya,27376:laGUcCedya:n: variant of laGucCedya
cae:lajjApayitfka,27405:lajjApayitfka:n:
cae:lavaRoDi,27509:{lavaRoDi}1{lavaRo°Di}:{lavaRodaDi}1{lavaRoda°Di}:t:  interpret variant. cf mw, pw
cae:lokaviSuta,27737:lokaviSruta:t:
cae:lokaSezWa,27740:lokaSrezWa:t:
cae:lohaDAtu,27813:lohaDAtu:n:
cae:vacanakAraka,27905:vacanakAraka:n:
cae:vacanakft,27907:vacanakft:n:
cae:vajravAh,27936:vajravAh:n: variant of vajravah
cae:vaDyaqiRqima,28039:vaDyaqiRqima:n:
cae:vaDyapuruza,28043:vaDyapuruza:n:
cae:vanASaya,28101:vanASraya:t:
cae:vanyanAga,28142:vanyanAga:n:
cae:varRASama,28332:varRASrama:t:
cae:varzodaka,28404:varzodaka:n:
cae:vasantaSI,28512:vasantaSrI:t:
cae:vasujis,28531:{vasujis}1{vasuji3s}:{vasujit}1{vasuji3t}:t:
cae:vasupatri,28558:vasupati:p:  'r' is wrong ('lord of wealth')
cae:vasuSavas,28572:{vasuSavas}1{va3suSavas}:{vasuSravas}1{va3suSravas}:t:
cae:vastravftta,28591:vastravftta:n:
cae:vasTita,3249:vasTita:n: ok. variant of avasTita
cae:vAgdaRqaja,28660:vAgdaRqaja:n:
cae:vAcAmAtraka,28693:vAcAmAtraka:n: variant of vAcAmAtra
cae:vAcyarTa,28701:vAcyArTa:p:  cf ccs, mw, pw
cae:vAjaSava,28714:vAjaSrava:t:
cae:vAjaSavas,28715:{vAjaSavas}1{vAjaSa3vas}:{vAjaSravas}1{vAjaSra3vas}:t:
cae:vAjaSavasa,28716:vAjaSravasa:t:
cae:vAjaSuta,28717:vAjaSruta:t:
cae:vAryanilASana,28958:vAryanilASana:n:
cae:vAlukAmbaDi,28978:vAlukAmbuDi:t:
cae:vAsapAdapa,29016:vAsapAdapa:n:
cae:vAhanAyuDa,29064:vAhanAyuDa:n:
cae:vikASayitf,29131:vikASayitf:n:
cae:vikAsayitf,29137:vikAsayitf:n:
cae:vikramabAhusena,29163:{vikramabAhusena}1{vikramabAhu°sena}:{vikramasena}1{vikrama°sena}:t:  variant interpretation error
cae:vikramANkadeva,29166:vikramANkadeva:n:  variant confirmed mw under vikramANka
cae:vikrAntaplutam,29177:vikrAntaplutam:n:
cae:vicazarRi,29278:vicazarRi:n: ? 
cae:viditaBakti,29471:viditaBakti:n:
cae:viditAtman,29472:viditAtman:n:
cae:vidyunman,29519:vidyunman:n:
cae:vidvatta,29537:vidvattA:p:  cf mw, also by gender
cae:vipralamBayitfka,29762:vipralamBayitfka:n: vipralamBayitf and vipralamBayitfka
cae:viprahIna,29775:viprahIna:n:
cae:viBavavin,29817:{viBavavin}1{viBava°vin}:{viBavin}1{viBa°vin}:t:  error interpreting variant
cae:viBIzaRanAmaka,29844:viBIzaRanAmaka:n:
cae:vimardakArin,29885:vimardakArin:n:
cae:vimarzana,29892:{vimarzana}1{vima°rzana}:{vimarzaRa}1{vima°rzaRa}:p:  cf MW; by sandhi, should be 'zaRa', not 'zana'
cae:vimarzwavya,29893:vimarzwavya:n:
cae:vimiSa,29917:vimiSra:t:
cae:viyonI,29964:viyonI:n: variant of viyoni
cae:vilAsikatva,30068:vilAsikatva:n:
cae:viviDAyuDa,30153:viviDAyuDa:n:
cae:vivekaviSAnta,30167:vivekaviSrAnta:t:
cae:viSAlalocana,30204:viSAlalocana:n:
cae:viSezay,30233:viSezay:n:  verb stem?
cae:vizaRa,30388:vizaRRa:t:
cae:vizaRarUpa,30389:vizaRRarUpa:t:
cae:vizaRavadana,30390:vizaRravadana:t:
cae:vizamasTita,30405:vizamasTita:n:
cae:vizyaRa,30503:{vizyaRa}1{vi3zyaRa}:{vizyaRRa}1{vi3zyaRRa}:t:
cae:vizvaktana,30506:vizvaktana:n:
cae:visaMdfSa,30518:visaMdfSa:n:
cae:visaMnnAha,30520:visaMnAha:p: Three nasals wrong. cf mw, pw. mw72 = visannAha
cae:vismApakana,30560:{vismApakana}1{vismApaka°na}:{vismApana}1{vismApa°na}:t:  difficulty interpreting variant
cae:visraganDin,30568:visraganDin:n:
cae:visrasas,30570:visrasas:n: verb form
cae:vihaMgavAwI,30580:vihaMgavAwI:n:
cae:vIqvI,30637:vIqvI:n:  f. of vIqu
cae:vItadarpa,30647:vItadarpa:n:
cae:vfttasapanna,30760:{vfttasapanna}1{vftta°sapanna}:{vfttasaMpanna}1{vftta°saMpanna}:p:  cf ccs, mw, pw
cae:vftrahant,30779:vftrahant:n: variant of vftrahan
cae:vfdDaSarmas,30797:vfdDaSarman:p: cf. PW.  No other word ends in Sarmas in any dictionary.
cae:vfzalavftti,30867:vfzalavftti:n:
cae:vESavaRa,31202:vESravaRa:t:
cae:vESyavat,31199:vESyavat:n:
cae:vyatimiSa,31253:vyatimiSra:t:
cae:vyapASaya,31290:vyapASraya:t:
cae:vyavahAratantra,31327:vyavahAratantra:n:
cae:vyAmiSa,31417:vyAmiSra:t:
cae:vyUQA,31469:vyUQA:n: f. of vyUQa
cae:vrada,31526:vrad:p:  verbs don't have anubanDa in CAE, so virAma missing.
cae:Saktf,31603:Saktf:n:  ?
cae:SaMkaragfha,31635:SaMkaragfha:n:
cae:SaNKapuzpuzpI,31654:{SaNKapuzpuzpI}1{SaNKapuz°puzpI}:{SaNKapuzpI}1{SaNKa°puzpI}:t:  incorrect variant expansion
cae:SatadaRqa,31701:SatadaRqa:n:
cae:SatASi,31771:SatASri:t:
cae:Satrutapa,31789:SatruMtapa:p: Missing anusvAra. cf, MW, PW, CCS, etc
cae:Sabdakarmakarman,31828:{Sabdakarmakarman}1{Sabdakarma°karman}:{Sabdakarman}1{Sabda°karman}:t:  error in expanding variant of Sabdakarmaka
cae:SamISAKA,31878:SamISAKA:n:
cae:SamIsumanas,31879:SamIsumanas:n:
cae:SarIraSuSUzA,31998:SarIraSuSrUzA:t:
cae:SarDis,32023:SarDis:n:
cae:SastrapARin,32133:SastrapARin:n:
cae:SArNgaDarapARi,32278:SArNgaDarapARi:n:
cae:SAlASaya,32307:SAlASraya:t:
cae:SAsanavAhAraka,32349:{SAsanavAhAraka}1{SAsanavA°hAraka}:{SAsanahAraka}1{SAsana°hAraka}:t:  error in variant expansion
cae:SAsanavAhArin,32350:{SAsanavAhArin}1{SAsanavA°hArin}:{SAsanahArin}1{SAsana°hArin}:t:  error in variant expansion
cae:SitipAd,32427:SitipAd:n:
cae:Siruha,32478:Siruha:n:
cae:SilpakArikArI,32530:{SilpakArikArI}1{SilpakAri°kArI}:{SilpakArI}1{Silpa°kArI}:t:  variant expansion error
cae:SivarUpin,32550:SivarUpin:n:
cae:Sivika,32562:Sivika:n:
cae:SItaBAna,32645:SItaBAna:n:
cae:SItalAy,32660:SItalAy:n:  verb
cae:SunakasadfSa,32828:SunakasadfSa:n:
cae:SuSU,32897:SuSrU:t:
cae:SuSUzaka,32898:SuSrUzaka:t:
cae:SuSUzaRa,32899:SuSrUzaRa:t:
cae:SuSUzA,32900:SuSrUzA:t:
cae:SuSUzita,32901:SuSrUzita:t:
cae:SuSUzin,32902:SuSrUzin:t:
cae:SuSUzu,32903:SuSrUzu:t:
cae:SuSUzeRya,32904:SuSrUzeRya:t:
cae:SuSUzya,32905:SuSrUzya:t:
cae:Suzmadra,32925:Suzmada:t:
cae:SUdraSizya,32949:SUdraSizya:n:
cae:SUlyamAMsaBUyizWa,32996:SUlyamAMsaBUyizWa:n:
cae:SOcapara,33170:SOcapara:n:
cae:SOcaprepsu,33171:SOcaprepsu:n:
cae:SORqikApaRa,33177:SORqikApaRa:n:
cae:SmaSu,33210:{SmaSu}1{Sma3Su}:{SmaSru}1{Sma3Sru}:t:
cae:SmaSukara,33211:SmaSrukara:t:
cae:SmaSukarman,33212:SmaSrukarman:t:
cae:SmaSuRa,33213:SmaSruRa:t:
cae:SmaSuDara,33214:SmaSruDara:t:
cae:SmaSuDArin,33215:{SmaSuDArin}1{SmaSu°DArin}:{SmaSruDArin}1{SmaSru°DArin}:t:
cae:SmaSula,33216:SmaSrula:t:
cae:SmaSuvant,33217:SmaSruvant:t:
cae:SmaSuvarDaka,33218:SmaSruvarDaka:t:
cae:Syenapattvan,33253:Syenapattvan:n:
cae:SrAdDAhvika,33329:SrAdDAhnika:t:
cae:SrIharzadeva,33400:SrIharzadeva:n:
cae:SlAGina,33502:SlAGin:t:
cae:zawtriMSAbdika,33631:zawtriMSAbdika:n:
cae:zawpAd,33636:zawpAd:n:
cae:saMrakzakzikA,33752:{saMrakzakzikA}1{saMrakza°kzikA}:{saMrakzikA}1{saMra°kzikA}:t: variant expansion error
cae:saMsPIta,33969:saMsPIta:n:
cae:sakraD,34061:sakruD:p:  'u' missing on last line in column. cf ccs,pw,mw
cae:saKadga,34069:saKaqga:p:  Sword is Kaqga
cae:saguqA,34091:saguqA:n: ?
cae:saMkulIkf,34137:saMkulIkf:n:
cae:saMjYakA,34366:saMjYakA:n:
cae:satyatAtAti,34468:{satyatAtAti}1{satya3tA°tAti}:{satyatAti}1{satya3°tAti}:t:  variant expansion error
cae:satyavatIputra,34496:satyavatIputra:n:
cae:sadvigaMrhita,34639:sadvigarhita:p:  the 'M' in print may be smudge or accent
cae:saDarmacAriRi,34656:saDarmacAriRI:t:
cae:sapatnajitur,34912:{sapatnajitur}1{sapatnaji°tu3r}:{sapatnatur}1{sapatna°tu3r}:t:  variant expansion error
cae:saptajihvAnana,34965:saptajihvAnana:n:
cae:saptavArzikA,34997:saptavArzikA:n:
cae:sapraSayam,35040:sapraSrayam:t:
cae:saBAvanta,35077:{saBAvanta}1{saBA3vanta}:{saBAvant}1{saBA3vant}:p:   print missing virAma
cae:samatmara,35116:samatsara:p: cf ccs, pw, etc
cae:samarakziBU,35176:samarakziBU:n:
cae:samarakziBUmi,35177:samarakziBUmi:n:
cae:samarpitf,35200:samarpitf:n:
cae:samAlamBanahasta,35348:samAlamBanahasta:n:
cae:saMbanDibAnDava,35618:saMbanDibAnDava:n:
cae:saMmiSa,35688:saMmiSra:t:
cae:sayukta,35724:saMyukta:p:  anusvAra missing; alph. order; cf mw, etc
cae:sarATan,35738:{sarATan}1{sarATa3n}:{sarATin}1{sarATi3n}:p:  'i' incompletely formed in print; cf mw, etc.
cae:sarpavinASa,35819:sarpavinASa:n:
cae:sarpaSattra,35821:sarpaSattra:n: ? cannot find Sattra in any dictionary
cae:sarvakAmikAmin,35842:{sarvakAmikAmin}1{sarvakAmi°kAmin}:{sarvakAmin}1{sarva°kAmin}:t: variant expansion error
cae:sarvaSezWa,35944:sarvaSrezWa:t:
cae:sarvastenakft,35954:sarvastenakft:n:
cae:sarvAnukramaRikramaRI,35973:{sarvAnukramaRikramaRI}1{sarvAnukramaRi°kramaRI}:{sarvAnuikramaRI}1{sarvAnu°kramaRI}:t: variant expansion error
cae:salilotTita,36019:salilotTita:n:
cae:saloptra,36024:saloptra:n: sa-loptra
cae:savyazWf,36087:savyazWf:n: = PW savyazWar
cae:saSiraHkappam,36111:saSiraHkampam:t:
cae:sasaMDyASa,36142:sasaMDyASa:n:
cae:sahasrAhvaya,36365:sahasrAhnya:t: cf. mw
cae:sahyavAsin,36411:sahyavAsin:n:
cae:sAnumanta,36583:sAnumant:p:  print is missing virAma.
cae:sAmadaRqa,36634:sAmadaRqa:n:
cae:sAmAnADikariRya,36655:sAmAnADikariRya:n:
cae:sAmeGya,36674:{sAmeGya}1{sA3meGya}:{sAMmeGya}1{sA3MmeGya}:t:
cae:sAyaMkAlikAlIna,36683:{sAyaMkAlikAlIna}1{sAyaMkAli°kAlIna}:{sAyaMkAlIna}1{sAyaM°kAlIna}:t:  variant expansion error
cae:sAyaRAcArya,36686:sAyaRAcArya:n:
cae:sitaSmaSu,36868:sitaSmaSru:t:
cae:sidDASama,36896:sidDASrama:t:
cae:sidDIkf,36906:sidDIkf:n:
cae:sIkarin,36949:sIkarin:n:
cae:sukradDa,37020:sukradDa:n:  ?  maybe sukroDa ? kradDa isn't a word
cae:suKopagamba,37073:suKopagamya:p:  'gamba' doesn't make sense. cf mw
cae:sugArhaspatya,37098:sugArhaspatya:n:
cae:sugfhItanAmaDeya,37112:sugfhItanAmaDeya:n:
cae:sutyAhan,37203:sutyAhan:n:   variant of sutya
cae:sudIdIti,37234:sudIdIti:n:
cae:sudurDaza,37248:sudurDaza:n:
cae:suDAvalita,37297:suDAvalita:n:
cae:supattrittrin,37362:{supattrittrin}1{supattri°ttrin}:{supattrin}1{supa°ttrin}:t:  variant expansion error
cae:supariSAnta,37368:supariSrAnta:t:
cae:supUrvAhle,37390:supUrvAhRe:t:
cae:suBagaMmamya,37455:suBagaMmanya:t:
cae:sumahAtmanas,37496:sumahAtmanas:n:
cae:sumfLIka,37509:sumfLIka:n:
cae:surakAmuka,37538:surakArmuka:p:  print missing 'r'; cf ccs, mw, pw
cae:suravanitA,37579:suravanitA:n:
cae:suvezanilaya,37707:suvezanilaya:n:
cae:sUkzmamant,37849:sUkzmamant:n:
cae:sUtanaya,37873:{sUtanaya}1{sU°tanaya}:{sUtatanaya}1{sUta°tanaya}:t:  variant expansion error
cae:sUtikAnna,37877:sUtikAnna:n:
cae:sUryajatanaya,37938:{sUryajatanaya}1{sUryaja°tanaya}:{sUryatanaya}1{sUrya°tanaya}:t:  variant expansion error
cae:sEndUrIkf,38047:sEndUrIkf:n:
cae:sOptikavaDa,38192:sOptikavaDa:n:
cae:sOramya,38227:sOraBya:t:
cae:sOSavasa,38246:sOSravasa:t:
cae:stanaDaya,38287:stanaMDaya:t:
cae:sTARUcCeda,38468:sTARUcCeda:n:
cae:sTAnaBraMzwa,38479:sTAnaBrazwa:p:  anusvAra is wrong here. cf mw, pw
cae:sTUlaSiram,38546:sTUlaSiras:t:
cae:sTeyaMm,38556:sTeyaMs:p:  cf CCS, PW. mw = sTeyas
cae:sTEya,38557:sTErya:p:  cf ccs, pw, mw, etc
cae:snAtalipta,38564:snAtalipta:n:
cae:sravitavE,38789:sra3vitavĖ:sra3vitavE3:t: accent miscoded;  verb form. variant of sravitave
cae:svacCandacAra,38851:svacCandacAra:n:
cae:svatejam,38874:svatejas:p:  final 'm' -> 's'
cae:svaparAhle,38912:svaparAhRe:t:  cf ccs, pw
cae:svayaMSezWa,38954:svayaMSrezWa:t:
cae:svarDan,39072:{svarDan}1{svarDa3n}:{svarDin}1{svarDi3n}:p: presume spelling error. cf PW, MW
cae:svavAn,39101:svavAn:n:  ?   nom. singular of svavat (MW)
cae:svAhAkf,39223:svAhAkf:n:
cae:hayattattva,39327:hayattattva:n:
cae:haravfzaBa,39345:haravfzaBa:n:
cae:hariSI,39394:hariSrI:t:
cae:harzASu,39432:harzASru:t:
cae:harzina,39433:harzin:t:
cae:havanaSut,39454:{havanaSut}1{havanaSu3t}:{havanaSrut}1{havanaSru3t}:t:
cae:havirucCizwaBuja,39463:havirucCizwaBuj:t:
cae:hastigoSvozwradamaka,39552:hastigoSvozwradamaka:n:
cae:hitepsA,39681:hitepsA:n:
cae:hiraRyaSmaSu,39767:hiraRyaSmaSru:t:
cae:hiriSmaSu,39776:{hiriSmaSu}1{hi3riSmaSu}:{hiriSmaSru}1{hi3riSmaSru}:t:
cae:hutavahAy,39809:hutavahAy:n:  verb
cae:huluhulI,39826:huluhulI:n:
cae:hUMkf,39834:hUMkf:n:
cae:hfcCayAvizwa,39847:hfcCayAvizwa:n:
cae:hrIsant,40042:hrImant:p:  poor print. cf ccs, pw, mw
